Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S
0,3,1,-0.6762867265489201,1,0,-0.7374194825640458,False,True
1,3,0,-0.2563007510037949,0,0,-0.6870650552932709,False,True
1,1,0,0.6886676939727366,1,0,2.6829516142730303,False,True
0,3,1,0.6886676939727366,0,0,-0.6777401613542385,False,True
0,3,1,0.1320936324102517,0,0,-0.6472813277917833,True,False
1,3,0,-0.1513042571175136,0,2,-0.4477285974964903,False,True
1,2,0,-1.5162586776391704,1,0,0.9649928342669147,False,False
1,3,0,-2.566223616501983,1,1,-0.032457500773198075,False,True
0,3,1,-0.8862797143214827,0,0,-0.6777401613542385,False,True
0,3,1,1.108653669517862,1,5,1.0548251325179772,False,True
0,3,0,-1.5162586776391704,0,0,-0.692346675220339,False,True
1,2,1,0.1320936324102517,0,0,-0.3084743613685564,False,True
0,3,0,0.2686817184276115,1,0,0.06452139619273871,False,True
1,3,0,0.1320936324102517,0,0,-0.7392844613518523,False,False
0,2,1,0.6886676939727366,0,0,0.6613146082908109,False,True
1,2,1,0.5836712000864553,0,0,-0.3084743613685564,False,True
1,3,0,-1.4112621837528891,0,0,-0.6792918237056936,True,False
1,1,1,-0.046307763231232334,0,0,1.3700065476572716,False,True
0,3,0,-2.146237640956858,3,1,0.29391378709293514,False,True
1,3,0,1.0036571756315806,1,5,1.0632175370631063,False,True
0,3,1,0.1320936324102517,0,0,-0.7392844613518523,False,False
1,3,0,0.1320936324102517,0,0,-0.6904816964325323,True,False
0,3,1,0.1320936324102517,0,0,-0.6892433505174288,False,True
0,1,1,1.2136501634041432,0,0,0.7896848282131063,False,False
1,3,0,0.1320936324102517,0,0,-0.7001199068079162,True,False
0,1,1,1.4236431511767056,1,0,2.6008925476095452,False,True
1,3,1,0.1320936324102517,0,0,-0.7389711449155009,False,False
0,3,1,-0.7812832204352014,0,0,-0.6777401613542385,False,True
0,3,0,-1.0962727020940453,2,0,0.06452139619273871,False,True
1,3,0,-1.5162586776391704,1,0,-0.43964204947256147,False,False
0,3,0,1.2136501634041432,1,0,-0.5714363704492695,False,True
0,2,0,-0.1513042571175136,1,0,0.2883188507295158,False,True
0,3,1,0.1320936324102517,0,0,-0.6892433505174288,False,False
1,3,0,-0.991276208207764,0,0,-0.6904816964325323,True,False
0,3,1,0.1320936324102517,0,0,-0.6777401613542385,False,True
0,3,1,0.1320936324102517,1,0,-0.12197648258790886,True,False
1,3,0,0.1320936324102517,0,0,-0.7001199068079162,True,False
0,3,1,0.1320936324102517,2,0,0.3389865944366422,False,False
0,3,0,-1.0962727020940453,1,0,0.04960156589028695,False,True
